StargazeAddress,CosmosAddress,Balance,IsStaking
stars1mr5qva9r5nqcfv4gg835clfntrdcm2h5ltfqmr,cosmos1mr5qva9r5nqcfv4gg835clfntrdcm2h5th7asj,0.036361,Yes
stars1ke6zg9nk8uzxvtnca5gxaqm9qecmmzz2adj4uj,cosmos1ke6zg9nk8uzxvtnca5gxaqm9qecmmzz2f39ghr,0,No
stars1emqzfcz5hezpg3z6ueqkptadpyx5qfujuxhc4x,cosmos1emqzfcz5hezpg3z6ueqkptadpyx5qfujg6q97h,0.028917,Yes
stars17rfxutps8ygy8vkemn5cyntv7pzq85xkaqws3d,cosmos17rfxutps8ygy8vkemn5cyntv7pzq85xkfued6u,0.0585,Yes
stars14eaylprxd5gz6dgxymc3uhnvass029es63pclk,cosmos14eaylprxd5gz6dgxymc3uhnvass029eswdk958,1.013282,Yes
stars1y98l7mqjzyeuc9was4d8p5lsrj8vnsdazp9ege,cosmos1y98l7mqjzyeuc9was4d8p5lsrj8vnsdakajyrg,0.100764,Yes
stars104aavf30j5uwvw2nnnmnp45hjzx60sdqwvfuqj,cosmos104aavf30j5uwvw2nnnmnp45hjzx60sdq6s7ptr,1.052469,Yes
stars126nmj82y0et5q5wchz7zt27z70x3td4u3gu4zz,cosmos126nmj82y0et5q5wchz7zt27z70x3td4u95tgfn,0,No
stars1hhulr5jwuyqey5m8azf34lf2n40pdxyrvz2k28wtky0nv4qpayys36jxfv,cosmos1hhulr5jwuyqey5m8azf34lf2n40pdxyrvz2k28wtky0nv4qpayys8akpx5,0,No
stars1l37rhrqlqw4fdjqp322vnkt30fkcqvxmyjy76r,cosmos1l37rhrqlqw4fdjqp322vnkt30fkcqvxmswnr3j,0.093793,Yes
stars1pr0dnyr2clsec6m64djkk6tfyp26vxvlasayrn,cosmos1pr0dnyr2clsec6m64djkk6tfyp26vxvlfv2egz,0.048325,Yes
stars1fd2wxqhwd7jtvsgkjpwjpkqjrh7j3mdwca2y8g,cosmos1fd2wxqhwd7jtvsgkjpwjpkqjrh7j3mdwvpaeve,0.010972,No
stars19al6vqmae0lljvqe46r8wtd3fqzj7gmhz6dkas9emrapgukyyzaq5q9rq4,cosmos19al6vqmae0lljvqe46r8wtd3fqzj7gmhz6dkas9emrapgukyyzaqz8py0d,0,No
stars1y383f0wmpt98ha708detuyxqqzfy84lcxcp9x3,cosmos1y383f0wmpt98ha708detuyxqqzfy84lcjykcdq,0,Yes
stars1xp0qs6pkay2jssu58p8eap0epdhwx5mqrs5c3a,cosmos1xp0qs6pkay2jssu58p8eap0epdhwx5mqhvr96v,2.687337,Yes
stars1zhv6enwzn04gsx70755xluxs6n62fwxjzaea4c,cosmos1zhv6enwzn04gsx70755xluxs6n62fwxjkpwq7f,0.009392,No
stars12g8ah5fssmlda283gy5pkjmjr0hjzxkagcg6wu,cosmos12g8ah5fssmlda283gy5pkjmjr0hjzxkauyl89d,0,No
stars1qs492qm9tu4wf5najagtzdjt75gwxu2z3fvszz,cosmos1qs492qm9tu4wf5najagtzdjt75gwxu2z94mdfn,0,No
stars174y7k3lk3djaqlpl8pzu8f9j9atlsrd3klxvka,cosmos174y7k3lk3djaqlpl8pzu8f9j9atlsrd3zr33av,0.10325,No
stars1xmv9u389awdw6qpvekwsnkv7zvlyh3qmmuun7v,cosmos1xmv9u389awdw6qpvekwsnkv7zvlyh3qm0qtw4a,6.61975,Yes
stars15f80jvvh8yqldcfvt99jfhq8gf6ykxrj4cxvm0,cosmos15f80jvvh8yqldcfvt99jfhq8gf6ykxrjpy33s7,0.019099,Yes
stars1x8amgn0tv3u7d64haumkyjpxn0fc4gqd0ze52u,cosmos1x8amgn0tv3u7d64haumkyjpxn0fc4gqdm7wfpd,1.151047,Yes
stars18fdu02ufsmak66z4qnm6u6es3ztkhdze4ewapl,cosmos18fdu02ufsmak66z4qnm6u6es3ztkhdzep9eq2w,1.084353,Yes
stars1lh6ruf253fhjykdesvfccy0y0vhjque4uwcey3,cosmos1lh6ruf253fhjykdesvfccy0y0vhjque4gj0y0q,0.030903,Yes
